timestamp,source_ip,destination_ip,source_port,destination_port,flags,identification,data,class
1522319026.815733,28.16.222.49,8.8.8.8,9254,80,S,4782,,safe-packet
1522319026.820733,46.114.204.205,8.8.8.8,31378,80,S,55494,,safe-packet
1522319026.825733,21.183.56.249,8.8.8.8,39148,80,S,5454,,safe-packet
1522319026.830733,213.208.46.188,8.8.8.8,31416,80,S,24402,,safe-packet
1522319026.835733,93.42.144.180,8.8.8.8,30902,80,S,13979,,safe-packet
1522319026.840734,74.203.170.254,8.8.8.8,54839,80,S,61909,,safe-packet
1522319026.845734,225.15.63.96,8.8.8.8,20181,80,S,3659,,safe-packet
1522319026.850734,78.70.231.155,8.8.8.8,46215,80,S,6732,,safe-packet
1522319026.855734,128.175.1.244,8.8.8.8,38176,80,S,25649,,safe-packet
1522319026.860734,199.248.45.6,8.8.8.8,45913,80,S,22404,,safe-packet
1522319026.865734,125.115.194.214,8.8.8.8,28926,80,S,51843,,safe-packet
1522319026.870734,40.205.245.120,8.8.8.8,56608,80,S,9736,,safe-packet
1522319026.875734,216.210.116.154,8.8.8.8,42045,80,S,18464,,safe-packet
1522319026.880734,182.6.209.114,8.8.8.8,26687,80,S,10813,,safe-packet
1522319026.885735,217.184.213.161,8.8.8.8,39464,80,S,20588,,safe-packet
1522319026.890735,163.37.132.81,8.8.8.8,58989,80,S,7358,,safe-packet
1522319026.895735,131.0.63.83,8.8.8.8,22964,80,S,23021,,safe-packet
1522319026.900735,105.143.124.48,8.8.8.8,31841,80,S,35495,,safe-packet
1522319026.905735,17.67.216.205,8.8.8.8,63041,80,S,39015,,safe-packet
1522319026.910735,25.82.232.70,8.8.8.8,8444,80,S,54483,,safe-packet
1522319026.915735,61.59.66.44,8.8.8.8,19554,80,S,17516,,safe-packet
1522319026.920735,226.25.78.249,8.8.8.8,2048,80,S,32786,,safe-packet
1522319026.925735,21.184.148.216,8.8.8.8,38674,80,S,50889,,safe-packet
1522319026.930736,166.148.195.22,8.8.8.8,55645,80,S,56498,,safe-packet
1522319026.935736,50.123.240.25,8.8.8.8,31358,80,S,27496,,safe-packet
1522319026.940736,93.142.182.142,8.8.8.8,48987,80,S,27801,,safe-packet
1522319026.945736,45.85.208.39,8.8.8.8,60646,80,S,35863,,safe-packet
1522319026.950736,218.125.149.205,8.8.8.8,4354,80,S,25429,,safe-packet
1522319026.955736,162.0.150.55,8.8.8.8,9160,80,S,41622,,safe-packet
1522319026.960736,135.133.54.235,8.8.8.8,10444,80,S,5688,,safe-packet
1522319026.965736,64.137.162.84,8.8.8.8,14170,80,S,53676,,safe-packet
1522319026.970737,171.241.15.69,8.8.8.8,5708,80,S,58125,,safe-packet
1522319026.975737,47.50.84.136,8.8.8.8,22267,80,S,35456,,safe-packet
1522319026.980737,41.151.219.202,8.8.8.8,32492,80,S,41266,,safe-packet
1522319026.985737,106.59.200.197,8.8.8.8,40651,80,S,24759,,safe-packet
